symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,fees,bars_held,exit_reason
JNJ,2016-08-29,2016-09-26,90.96960205576725,90.31409772141768,3.2113,-2.1050210688968036,-0.007205751366788812,0.0,19,シグナル
ULTA,2016-09-01,2016-09-29,246.86733416748044,240.00783695068358,1.1582,-7.944669676494129,-0.027786167983420706,0.0,19,シグナル
NI,2016-09-15,2016-09-30,17.044493034592474,17.69327492844497,16.4516,10.673500204903746,0.03806401824541034,0.0,11,シグナル
BAX,2016-09-09,2016-10-07,39.24363115724301,41.44283639414044,7.1983,15.830539056758823,0.05603979988716056,0.0,20,期間満了
RMD,2016-09-27,2016-10-10,57.19338931391344,57.59391802678623,4.8234,1.9319101936706033,0.0070030595786941905,0.0,9,シグナル
ALB,2016-09-13,2016-10-11,67.27088158333922,72.6305347998292,4.1703,22.3513618087282,0.07967270667993442,0.0,20,期間満了
DHR,2016-09-13,2016-10-11,65.67386020223371,65.59876282238328,4.2717,-0.3207934775070953,-0.0011434896566028096,0.0,20,期間満了
AMD,2016-09-15,2016-10-12,6.094872152709961,6.634687866592407,46.0075,24.835571456446644,0.08856883300536962,0.0,19,シグナル
HII,2016-09-27,2016-10-12,127.94284023457827,127.35910552400641,2.2644,-1.3218088786189242,-0.004562464843688063,0.0,11,シグナル
TTWO,2016-10-13,2016-10-20,42.22375062561035,44.12467184753418,6.8646,13.049063820018318,0.04502018872693053,0.0,5,シグナル
FICO,2016-10-07,2016-10-26,123.43874035412846,121.68314813377467,2.3521,-4.12932846149414,-0.014222376340824912,0.0,13,シグナル
WST,2016-09-29,2016-10-27,72.12266871306133,68.62295943590577,3.8542,-13.48857949601296,-0.04852440071344402,0.0,20,期間満了
DLR,2016-10-10,2016-10-28,65.71494249857889,65.93917392363427,4.3488,0.9751376212808509,0.0034121832345852298,0.0,14,シグナル
MSCI,2016-10-11,2016-10-28,72.43864542644219,71.3297978993936,3.961,-4.392145054639457,-0.015307402844446712,0.0,13,シグナル
CASY,2016-10-03,2016-10-31,111.51303062034032,106.44282445028215,2.6103,-13.234759165702826,-0.04546738746003862,0.0,20,期間満了
TSN,2016-10-11,2016-11-03,54.674602291049595,54.23328009188267,5.248,-2.3160589012280184,-0.008071795324959686,0.0,17,シグナル
NDAQ,2016-10-13,2016-11-09,18.8493136369723,18.554560770954954,15.3771,-4.532444296035351,-0.015637326201586425,0.0,19,シグナル
BR,2016-10-26,2016-11-10,54.37898958355631,51.95194836100114,5.3063,-12.87860883924452,-0.04463196615350661,0.0,11,シグナル
IEX,2016-10-20,2016-11-11,77.03545294564901,81.47557790893843,3.7763,16.76724389886988,0.05763742268669572,0.0,16,シグナル
XYL,2016-10-27,2016-11-11,42.9853121410766,46.59452917157263,6.6161,23.878940795464814,0.08396396003013039,0.0,11,シグナル
HPQ,2016-10-28,2016-11-15,9.935182667750198,11.356673095196063,28.7299,40.83927783147698,0.143076425968498,0.0,12,シグナル
WST,2016-10-28,2016-11-18,70.80156769190559,77.30936162595462,4.0315,26.236171245118726,0.09191595816589596,0.0,15,シグナル
ALGN,2016-11-03,2016-11-18,85.77856708374023,97.65181935424805,3.3265,39.4963736778443,0.13841747040279564,0.0,11,シグナル
CINF,2016-11-09,2016-11-28,53.81118144362769,59.18180550909745,5.3022,28.4761229199338,0.09980498330251315,0.0,12,シグナル
CHTR,2016-10-31,2016-11-29,250.82049111328124,271.92230263671877,1.1501,24.2691934331055,0.0841311307133477,0.0,20,期間満了
FICO,2016-11-14,2016-12-01,114.95470265428717,113.72144900228759,2.6171,-3.22754813264811,-0.010728170518682037,0.0,12,シグナル
META,2016-11-22,2016-12-01,121.43154677354691,117.25560408762779,2.5657,-10.714216149262711,-0.03438927360207876,0.0,6,シグナル
TYL,2016-11-10,2016-12-01,156.56515444335935,143.9247101342203,1.7607,-22.25603029510114,-0.08073599999999999,0.0,14,損切り
WTW,2016-11-11,2016-12-02,106.23419234832323,105.95962312895814,2.8437,-0.7807924891085349,-0.0025845654143520553,0.0,14,シグナル
MCO,2016-11-18,2016-12-02,92.35864398917084,88.69498780179462,3.3449,-12.254563581154741,-0.03966771304920625,0.0,9,シグナル
EBAY,2016-12-05,2016-12-06,25.19736236585639,24.93679050744573,12.1429,-3.1640980194948156,-0.010341235508195419,0.0,1,シグナル
SWKS,2016-12-05,2016-12-13,59.64814421811416,62.04087463124394,5.1295,12.273510654149163,0.040114079733651435,0.0,6,シグナル
PLD,2016-11-15,2016-12-14,36.47974359599101,40.38142004316021,8.282,32.31368433545532,0.10695460172033613,0.0,20,期間満了
BALL,2016-12-05,2016-12-15,33.48923008457338,33.62418944107348,9.1363,1.2330291687919157,0.004029933090706494,0.0,8,シグナル
ADBE,2016-12-06,2016-12-19,102.07158986206053,103.48714369506835,3.009,4.2594014835205485,0.013868245169109292,0.0,9,シグナル
SNPS,2016-12-06,2016-12-23,58.02638354187011,59.462390322875976,5.2929,7.600640291185925,0.024747480255592386,0.0,13,シグナル
BIIB,2016-12-21,2016-12-30,285.2880455566406,287.55977653808594,1.1021,2.503674714650913,0.007962937868682329,0.0,6,シグナル
CSCO,2016-12-06,2017-01-03,22.060521106573926,22.736465937475188,13.9223,9.410706719256666,0.030640474340374296,0.0,18,シグナル
INTC,2016-12-05,2017-01-04,28.032656545257296,29.945591166879208,10.9147,20.879107514616692,0.06823950554003247,0.0,20,期間満了
AFL,2016-12-06,2017-01-05,27.45500694021238,28.025124429190104,10.458,5.962288699729072,0.020765519754529595,0.0,20,期間満了
AXON,2016-12-15,2017-01-10,24.489575312805172,24.36049516143799,12.8948,-1.664462735849554,-0.005270820327361473,0.0,16,シグナル
SPGI,2016-12-14,2017-01-11,100.81655705470455,96.45853124260265,3.1374,-13.672870182888516,-0.04322728269461906,0.0,18,シグナル
IEX,2016-12-30,2017-01-13,79.94080582239893,80.77869372117141,3.8632,3.2369285305377957,0.010481354173911718,0.0,9,シグナル
EXPE,2016-12-16,2017-01-18,112.34563540933289,113.27064434081689,2.7886,2.579479906336246,0.0082335991791199,0.0,20,期間満了
NOW,2016-12-27,2017-01-26,15.214161264038085,18.387278826904296,20.6266,65.45062672221621,0.2085634237601091,0.0,20,期間満了
SBUX,2017-01-05,2017-01-30,45.451670669172515,45.31427848446654,6.9306,-0.9522102753232389,-0.003022819242575436,0.0,16,シグナル
JCI,2017-01-04,2017-02-02,34.41382900143016,34.391195526456244,9.1625,-0.20737921444850826,-0.0006576854604867051,0.0,20,期間満了
XYL,2017-01-04,2017-02-02,44.13857479021218,43.57156990716269,7.1438,-4.050569483528989,-0.012846017021266178,0.0,20,期間満了
APA,2017-01-26,2017-02-07,48.346765820968834,44.4434413356471,6.8234,-26.63394429314434,-0.08073599999999993,0.0,8,損切り
LITE,2017-01-20,2017-02-09,35.2281607635498,46.1130815246582,9.0585,98.60105471450038,0.3089835099302403,0.0,14,シグナル
EVRG,2017-01-12,2017-02-10,38.63609294897244,37.585058007255896,8.2621,-8.68375579195623,-0.027203447903095847,0.0,20,期間満了
LHX,2017-01-19,2017-02-16,84.31969788670871,89.60785292098758,3.7865,20.023599037296947,0.06271553583344185,0.0,20,期間満了
ANET,2017-01-20,2017-02-17,5.668281171798705,6.93195,52.6433,66.52369722364921,0.222936863910069,0.0,20,期間満了
SYY,2017-02-08,2017-02-17,40.75576495907529,40.94077786419212,7.6848,1.4217871732417962,0.00453955177390505,0.0,7,シグナル
LDOS,2017-02-03,2017-02-22,42.75183739670733,45.47544141666723,7.6893,20.942608390677663,0.06370729741243045,0.0,12,シグナル
FFIV,2017-01-30,2017-02-28,135.1680455566406,143.15538826904296,2.4069,19.224735174481168,0.059091944989730034,0.0,20,期間満了
NTRS,2017-02-02,2017-03-03,63.405356918777244,68.04454617878325,5.1383,23.837546174688896,0.07316714999252903,0.0,20,期間満了
EOG,2017-02-09,2017-03-03,71.35881135287758,71.506073895667,4.7399,0.698009726567534,0.002063691084499456,0.0,15,シグナル
AIG,2017-02-17,2017-03-03,48.84505541609911,50.15717878043104,7.1488,9.380107506936099,0.02686297217096533,0.0,9,シグナル
AIZ,2017-02-10,2017-03-13,75.98088199042517,83.04911358154244,4.4835,31.69041633877424,0.0930264483111419,0.0,20,期間満了
AKAM,2017-02-16,2017-03-17,64.27137722167969,64.88805043945312,5.3953,3.32713701185304,0.009594834348211645,0.0,20,期間満了
MGM,2017-02-22,2017-03-22,25.493830121748253,24.680853145683542,13.8093,-11.226642955570412,-0.03188916581707262,0.0,20,期間満了
ZTS,2017-02-22,2017-03-22,48.654150657852334,49.0726059320184,7.2358,3.027858672810794,0.00860060793391997,0.0,20,期間満了
MLM,2017-02-28,2017-03-27,200.94176209801805,189.99267367638754,1.7455,-19.111633839956028,-0.054488864372004474,0.0,19,シグナル
BX,2017-03-13,2017-03-27,19.938415615551673,19.49610515506469,17.7164,-7.8361490421715985,-0.022183831905980934,0.0,10,シグナル
CMG,2017-03-22,2017-03-31,8.126295453643799,8.935446170043946,43.136,34.90352530263675,0.09957190469087943,0.0,7,シグナル
YUM,2017-03-13,2017-04-03,54.125839983832805,53.56034264855708,6.5262,-3.6905487094764453,-0.01044782557544859,0.0,15,シグナル
CF,2017-03-20,2017-04-03,23.483941352243512,23.008436026240254,15.1231,-7.191114595679892,-0.02024810566808167,0.0,10,シグナル
MOS,2017-03-13,2017-04-04,24.71944976731222,24.33457906157389,14.2898,-5.4997254108595826,-0.015569549863009638,0.0,16,シグナル
NOW,2017-03-23,2017-04-04,17.037619367980955,17.198230293273927,20.6501,3.3166316683924038,0.009426840794131754,0.0,8,シグナル
COST,2017-03-15,2017-04-12,140.7890035018742,145.53888350442287,2.5212,11.97539746242569,0.033737578109112994,0.0,20,期間満了
JBHT,2017-04-05,2017-04-12,84.71600125365842,83.99406274932585,4.1704,-3.0107723384685983,-0.00852186710478624,0.0,5,シグナル
HII,2017-04-04,2017-04-13,167.78721595894027,168.28202750533413,2.1183,1.048159298726091,0.002949041996828508,0.0,7,シグナル
HBAN,2017-03-27,2017-04-25,8.55497598463962,8.843940220918633,40.7082,11.763213923293279,0.03377732874970598,0.0,20,期間満了
WFC,2017-03-27,2017-04-25,42.14589107110666,41.847443883974194,7.9178,-2.363045138277471,-0.007081287868108975,0.0,20,期間満了
MO,2017-04-05,2017-04-27,37.565066322579796,37.110535498518495,9.4051,-4.27490785337892,-0.012099827540783207,0.0,15,シグナル
COF,2017-04-12,2017-04-27,70.18476009901205,70.53887863924523,5.0105,1.7743109458382946,0.005045518994915735,0.0,10,シグナル
GS,2017-03-31,2017-05-01,188.6834844891255,183.78117441054178,1.8961,-9.295270140002629,-0.025981659665959143,0.0,20,期間満了
GM,2017-04-05,2017-05-03,29.345188778249472,27.952684968862936,12.0395,-16.765049613109227,-0.0474525422177095,0.0,19,シグナル
DPZ,2017-04-12,2017-05-10,158.22798760364148,173.88634266591816,2.2225,34.8006941259099,0.09896071674437643,0.0,19,シグナル
MRK,2017-04-13,2017-05-12,45.10974182187434,46.18525684734608,7.6704,8.249630451378437,0.02384218978061648,0.0,20,期間満了
INCY,2017-04-25,2017-05-12,124.75973166503906,114.68712996933046,2.8528,-28.735118117517516,-0.08073600000000011,0.0,13,損切り
URI,2017-04-25,2017-05-15,110.1698065274782,108.82015202084514,3.2306,-4.360193849128734,-0.0122506751093951,0.0,14,シグナル
PHM,2017-04-27,2017-05-15,20.543009392544924,20.546234769889853,17.225,0.05555712476643748,0.0001570060784814493,0.0,12,シグナル
AMD,2017-05-11,2017-05-18,10.748591770935057,10.98120777130127,32.7473,7.617545948792497,0.02164153270712385,0.0,5,シグナル
T,2017-04-27,2017-05-25,15.923759779674363,15.012215744346637,22.2217,-20.256058089842156,-0.057244271952108544,0.0,20,期間満了
MAA,2017-05-01,2017-05-30,71.5420431593614,72.43891711253889,4.8912,4.386789879781759,0.012536320093342714,0.0,20,期間満了
STX,2017-05-04,2017-05-30,29.468404893493652,29.165637767534427,11.7571,-3.5596633766152195,-0.010274296388063897,0.0,17,シグナル
BLDR,2017-05-16,2017-05-30,14.57164841995239,13.395191813119116,24.696,-29.053772362354607,-0.08073600000000004,0.0,9,損切り
EXC,2017-05-15,2017-06-02,17.759934334161503,18.990703620078566,19.9531,24.557662638831744,0.06930032863633169,0.0,13,シグナル
PFE,2017-06-01,2017-06-05,20.28783450433759,20.156194502245107,15.4051,-2.0279273962348725,-0.0064886177016248645,0.0,2,シグナル
INCY,2017-05-16,2017-06-06,117.58398986206053,124.0506815246582,3.0604,19.790663164213925,0.05499636192124322,0.0,14,シグナル
BLDR,2017-06-01,2017-06-06,13.740983541870117,13.878888343048095,26.0379,3.5907514225920636,0.010036021130348367,0.0,3,シグナル
EXR,2017-05-18,2017-06-07,53.153739407510635,52.53971059869263,6.6617,-4.090475715702951,-0.011551940007653527,0.0,13,シグナル
ADP,2017-05-16,2017-06-14,80.0031560645147,83.43006789000181,4.341,14.876224234439519,0.04283470795481663,0.0,20,期間満了
LOW,2017-06-12,2017-06-16,66.01356860551265,67.31069335065574,5.3922,6.994356050760587,0.019649365615946615,0.0,4,シグナル
DIS,2017-05-25,2017-06-23,100.47615553680657,96.32628002246493,3.375,-14.00582986090302,-0.041302092941060506,0.0,20,期間満了
PFE,2017-06-12,2017-06-23,20.349927788161924,21.12959689629753,17.492,13.637972039508043,0.038313114240590126,0.0,9,シグナル
IDXX,2017-06-14,2017-06-27,162.43984555664062,165.43755131835937,2.1947,6.579064835244139,0.018454251488890325,0.0,9,シグナル
KEYS,2017-06-16,2017-06-27,37.93032152709961,38.119481524658205,9.3671,1.7718806131311453,0.004987039127086001,0.0,7,シグナル
CSCO,2017-05-31,2017-06-28,24.24415623046878,24.205394850535292,14.7543,-0.5718970279526729,-0.0015987926973006171,0.0,20,期間満了
HPQ,2017-06-13,2017-06-28,13.004566343865985,13.0274935680536,27.4558,0.62948528185035,0.0017630133586446308,0.0,11,シグナル
TER,2017-06-26,2017-06-29,31.015362825538265,28.511306492455606,11.6479,-29.16699776211351,-0.08073600000000007,0.0,3,損切り
JPM,2017-06-02,2017-06-30,64.50683687643426,71.97184102005674,5.5791,41.64800461768414,0.11572423180386324,0.0,20,期間満了
